CS	CS.size	CS.nlog10minp	CS.purity	CS.SNP	CS.tags
CS:EUR-1-2-L1	20	4.196256847181175	0.7930283981697942	rs1571148,rs1571149,rs9439465,rs7290,rs6665973,rs7517401,rs7515814,rs3930748,rs7366635,rs3753332,rs3753331,rs3820075,rs12048706,rs6667347,rs12410854,rs3766170,rs3766169,rs7552586,rs6603792,rs7548959	rs3766180,rs3766179,rs3766178,rs7533,rs9329413,rs3753330,rs7550471,rs9439468,rs6603791,rs7367692,rs7364711,rs6603793,rs9439473
CS:AFR-1-2-L1	20	1.7368817561565923	0.5217920297385237	rs1571148,rs1571149,rs9439465,rs7290,rs6665973,rs7517401,rs7515814,rs3930748,rs7366635,rs3753332,rs3753331,rs3820075,rs12048706,rs6667347,rs12410854,rs3766170,rs3766169,rs7552586,rs6603792,rs7548959	rs3766180,rs3766179,rs3766178,rs7533,rs9329413,rs3753330,rs7550471,rs9439468,rs6603791,rs7367692,rs7364711,rs6603793,rs9439473
CS:EUR-1-4-L1	22	5.890025463704772	0.7523708114050451	rs2503716,rs1692580,rs590367,rs263533,rs263532,rs377599,rs263531,rs262680,rs696094,rs262679,rs263527,rs263526,rs10910034,rs1713712,rs263535,rs260513,rs10910037,rs260509,rs260508,rs4648626,rs60635488,rs903908	rs1692584,rs10797416,rs260511,rs260507,rs10910036,rs4648628
CS:EUR-1-19-L1	29	6.199369323602379	0.79200760728798	rs1188529,rs1152739,rs2781232,rs587916,rs6540933,rs1188528,rs585870,rs1188525,rs597438,rs648324,rs589400,rs683864,rs2506902,rs616488,rs616402,rs2480785,rs1411402,rs2483677,rs12375,rs2480777,rs2506892,rs2506896,rs2150038,rs67488812,rs17035305,rs12028449,rs34575776,rs4846235,rs112436634	rs607941,rs652771,rs668805,rs1188526,rs1632108,rs2506901,rs2056417,rs2026792,rs9430149,rs11121587
CS:EUR-1-23-L1	11	6.396393320267547	0.9556526338734284	rs3737967,rs2274976,rs17037397,rs2076003,rs77072136,rs41275484,rs2075539,rs2272803,rs7552330,rs141308438,rs5063	rs3753586,rs3753585,rs3737965,rs75747410,rs79811212,rs41275500
CS:EAS-1-23-L1	11	1.985680448486589	0.8252077939097542	rs3737967,rs2274976,rs17037397,rs2076003,rs77072136,rs41275484,rs2075539,rs2272803,rs7552330,rs141308438,rs5063	rs3753586,rs3753585,rs3737965,rs75747410,rs79811212,rs41275500
CS:EUR-1-35-L1	1	19.402809122669	1	rs1497406	
CS:EAS-1-35-L1	1	4.380949016415972	1	rs1497406	
CS:EUR-1-35-L2	21	7.440855420011392	0.8208957147025638	rs35875594,rs4661634,rs4661635,rs3766161,rs10927792,rs10803385,rs10803386,rs6429746,rs6685648,rs4233533,rs4646061,rs6686966,rs4233537,rs4233538,rs12124078,rs7515244,rs10803392,rs1467513,rs6664388,rs10159261,rs6679229	rs72865196,rs3766160,rs3820071,rs4646100,rs4646093,rs4646090,rs4646068,rs1800615,rs6686890,rs4233535,rs10754896,rs7533287,rs3795758,rs10803389,rs2145399,rs10803390,rs2295626,rs10803391,rs4233534,rs6695562,rs10803388,rs4645989,rs12741552,rs3795759,rs4661640,rs7546668,rs9298,rs12736181,rs10803394,rs3737705,rs6690219,rs7530124,rs6690043,rs6667182,rs6690758
CS:AFR-1-35-L2	21	2.971909300931975	0.681596626098165	rs35875594,rs4661634,rs4661635,rs3766161,rs10927792,rs10803385,rs10803386,rs6429746,rs6685648,rs4233533,rs4646061,rs6686966,rs4233537,rs4233538,rs12124078,rs7515244,rs10803392,rs1467513,rs6664388,rs10159261,rs6679229	rs72865196,rs3766160,rs3820071,rs4646100,rs4646093,rs4646090,rs4646068,rs1800615,rs6686890,rs4233535,rs10754896,rs7533287,rs3795758,rs10803389,rs2145399,rs10803390,rs2295626,rs10803391,rs4233534,rs6695562,rs10803388,rs4645989,rs12741552,rs3795759,rs4661640,rs7546668,rs9298,rs12736181,rs10803394,rs3737705,rs6690219,rs7530124,rs6690043,rs6667182,rs6690758
CS:EUR-1-35-L3	5	9.366592302459091	0.8658622312844179	rs35365738,rs11584945,rs10927846,rs10927848,rs10927849	
CS:EAS-1-35-L3	5	1.273949361621974	0.7045327340805831	rs35365738,rs11584945,rs10927846,rs10927848,rs10927849	
CS:EUR-1-40-L1	8	10.703718579997933	0.9855103329563847	rs2992735,rs1360915,rs2992763,rs2992762,rs1360919,rs2992757,rs2992755,rs2992752	rs3007733,rs1360916,rs1316327,rs2992732,rs3007734,rs2992764,rs2992761,rs2992753,rs3007718
CS:AFR-1-40-L1	8	1.5467001282784834	0.7025183333227751	rs2992735,rs1360915,rs2992763,rs2992762,rs1360919,rs2992757,rs2992755,rs2992752	rs3007733,rs1360916,rs1316327,rs2992732,rs3007734,rs2992764,rs2992761,rs2992753,rs3007718
CS:EUR-1-48-L1	3	13.57005233035642	0.9501174644651106	rs1767147,rs534417,rs7551124	rs1198433,rs946269,rs685059,rs10917383
CS:AFR-1-48-L1	3	2.5769334130051096	0.7729300906345571	rs1767147,rs534417,rs7551124	rs1198433,rs946269,rs685059,rs10917383
CS:EUR-1-48-L2	5	12.147468765107488	0.9138336322935037	rs218341,rs80295797,rs7548692,rs7543975,rs11578046	rs10799788,rs7555529,rs6680974,rs2235548,rs2143156
CS:AFR-1-48-L2	5	1.5029279849525488	0.5844798186810213	rs218341,rs80295797,rs7548692,rs7543975,rs11578046	rs10799788,rs7555529,rs6680974,rs2235548,rs2143156
CS:EUR-1-48-L3	13	4.315140600771337	0.7460761404138128	rs61777157,rs72661446,rs61778860,rs61778878,rs55796501,rs55858312,rs61778887,rs61778890,rs61778891,rs56102770,rs61778894,rs6669033,rs61778895	rs55972836,rs61778877,rs61778880,rs61778888
