CS	CS.size	CS.nlog10minp	CS.purity	CS.SNP	CS.tags
CS:EUR-1-1-1	31	11.67509539923104	0.5933657888284293	rs1936360,rs9442392,rs13303313,rs9777931,rs9331223,rs4503294,rs3128117,rs1921,rs3121574,rs3128111,rs2799060,rs61766299,rs13303278,rs2341354,rs2465140,rs3128110,rs1891906,rs57683598,rs3128116,rs2799056,rs9442391,rs2465141,rs3128118,rs4970349,rs3845292,rs4970350,rs4970392,rs4970394,rs3845291,rs4039721,rs4970393	rs34712273,rs2710880,rs9442612,rs9778087,rs9442364
CS:EUR-1-1-2	8	10.503569216778429	0.7786616032107592	rs7417106,rs6659460,rs56028034,rs74045047,rs74045046,rs28687780,rs3829738,rs7547878	rs28434575,rs4970418
CS:EUR-1-2-1	36	7.638334355672101	0.7327869661881122	rs2649592,rs2649590,rs2477776,rs2368566,rs4970444,rs2454652,rs2765030,rs2649587,rs34782209,rs113548627,rs34389364,rs4970439,rs307349,rs4596826,rs35705386,rs4970365,rs1240707,rs1886772,rs307348,rs4970433,rs307355,rs307368,rs2296471,rs1262896,rs307380,rs61766199,rs3766185,rs2765021,rs3766183,rs307350,rs4970432,rs2296472,rs11260584,rs307371,rs640712,rs604618	rs2765031,rs2649588,rs2477777,rs2454653,rs2260424,rs2649594,rs2649591,rs2649589,rs2765029,rs2649585,rs3855956,rs35694341,rs35993679,rs12731385,rs34876581,rs2477784,rs112491004,rs4970446,rs10907179,rs3845293,rs35744813,rs307359,rs307357,rs1262895,rs34380086,rs1272959,rs1739855,rs2477782
CS:EUR-1-3-1	55	7.009519798432175	0.5128000730474868	rs2295363,rs2092924,rs2803320,rs28640257,rs2803290,rs2247560,rs7542410,rs4648732,rs2803298,rs2474460,rs2803335,rs2803348,rs2474457,rs2474459,rs12045595,rs28672079,rs2748985,rs941531,rs2748986,rs2803328,rs941530,rs11260626,rs2803322,rs2803333,rs10454464,rs3121830,rs4648731,rs41306992,rs2803321,rs28670388,rs2803341,rs2748979,rs11260623,rs2748970,rs2803327,rs6687065,rs915292,rs2748982,rs6603805,rs28608797,rs2490543,rs7525092,rs11260624,rs61422524,rs2295364,rs12138152,rs12066667,rs4648592,rs6603802,rs12041925,rs4648734,rs2748969,rs11260616,rs10907190,rs61774983	rs2803299,rs2748988,rs2803297,rs2490548,rs2803349,rs752966,rs2092921,rs2748984,rs2748967,rs2803295,rs4648730,rs7548509,rs9662595,rs2803296,rs2748983,rs2803334,rs2803336,rs2803338,rs2490544,rs2803340,rs11260625,rs2803332,rs2261279,rs2803316,rs28685049,rs55825112,rs28592294,rs2748981,rs2748980,rs34166899,rs12040325,rs2272908,rs2803326,rs9786942,rs34849348,rs10907191,rs9660106,rs12567685,rs35386522,rs6603803,rs6688470,rs10907193,rs12077553
CS:EUR-1-5-1	7	9.90306443692364	0.8877139349480899	rs72630915,rs56069604,rs2788091,rs77840846,rs12044831,rs2993481,rs72629498	rs1109251,rs72630911,rs12046233,rs12048975,rs56176404,rs12033401
CS:EUR-1-19-1	17	5.630722651230804	0.8259353099429352	rs114968182,rs17400878,rs6702280,rs12137527,rs17396340,rs4846204,rs11121529,rs12139158,rs17401588,rs6703602,rs58036267,rs6694081,rs12125492,rs11121542,rs6670157,rs7525661,rs12142043	rs997482,rs147613335,rs17397129,rs6693965,rs12135774,rs11804162,rs4846215,rs10864454,rs12135219,rs11121548,rs12141192,rs61383940,rs12120465,rs4846217,rs6679596,rs3762289,rs4240912,rs4240913
CS:EUR-1-21-1	53	7.82356510490487	0.7649706720033059	rs6691831,rs1034528,rs1205593,rs2486918,rs12089366,rs1148480,rs2261434,rs2015818,rs1057079,rs6674994,rs4845853,rs11121695,rs11121696,rs10864490,rs12075896,rs11585553,rs2791648,rs11581010,rs2275527,rs28729193,rs56803472,rs1148478,rs1211575,rs6701524,rs4845858,rs2791649,rs7553827,rs7533211,rs11121713,rs4845988,rs1205592,rs2791643,rs2076655,rs743577,rs2300092,rs4845854,rs7554251,rs1212929,rs11121711,rs4845855,rs7525957,rs2253213,rs7540890,rs2746640,rs2746639,rs6679878,rs2295080,rs2748876,rs12032364,rs2791655,rs2788543,rs12029823,rs2791644	rs6540964,rs4845852,rs4240892,rs12041740,rs12097293,rs1417131,rs12239187,rs11121691,rs2486920,rs2039840,rs2261217,rs910660,rs1130683,rs12120734,rs2300094,rs2300093,rs2300091,rs11121698,rs2335398,rs742824,rs4845856,rs7549109,rs7543400,rs12730522,rs12124983,rs10864495,rs7544489,rs4845987,rs10864496,rs2092642,rs7517041,rs2076657,rs11121712,rs2486922,rs2261317,rs2791661,rs2748880,rs2748879,rs2791660,rs2791659,rs6701726,rs2791658,rs2791657,rs2748878,rs2748877,rs910661,rs1318348,rs2791650,rs2791647,rs2791646,rs1194820,rs2259886,rs10779751,rs4845984,rs2024625,rs11121702,rs7541998,rs718206,rs12036364,rs6672513,rs4845859,rs11121708,rs6670821,rs11121710,rs4845857,rs12752896,rs4845985,rs4845986,rs2300089,rs11121703,rs6661859,rs1135172,rs11121706,rs6683420,rs6686835,rs2016559,rs4845982,rs1064261,rs11121704,rs1883964,rs7524202,rs2024627,rs6697896,rs2295079
CS:EUR-1-23-1	62	5.280391777676087	0.2702009092557413	rs78097221,rs60600557,rs113823536,rs79593079,rs11803049,rs79837245,rs7545290,rs5063,rs74714707,rs80177860,rs75030554,rs77012921,rs58120150,rs12564559,rs75540316,rs116525098,rs2076003,rs114941496,rs17037397,rs141308438,rs3753585,rs41275484,rs7552330,rs2075539,rs61757273,rs77347935,rs2274976,rs3737967,rs2272803,rs11804222,rs2003655,rs41275488,rs145628269,rs61736014,rs7553194,rs12569355,rs6699270,rs2066470,rs3753582,rs2076004,rs34241762,rs4846063,rs12565635,rs35900033,rs2075538,rs17037396,rs72640267,rs72640262,rs35464336,rs915015,rs17421560,rs12562784,rs12562952,rs3820192,rs72640221,rs13306556,rs1537514,rs2066462,rs1537516,rs41307759,rs56260590,rs55867221	rs79712000,rs77003042,rs79653311,rs3753586,rs3737965,rs75747410,rs77072136,rs79811212,rs41275500,rs56221660,rs55814225,rs6697335,rs6691440,rs6699827,rs114540413,rs145641960,rs72640243,rs72640244,rs55851065,rs12564002,rs12565990,rs55800247,rs55738737,rs139569786,rs140586031,rs116422234,rs72640247,rs6701960,rs6687229,rs72640249,rs72640251,rs72640252,rs72640253,rs138252948,rs17376286,rs17037432,rs17037434,rs17037435,rs114083374,rs149393118,rs144795462,rs143553702,rs34377596,rs72640257,rs72640258,rs12564593,rs2076001,rs2076002,rs55994631,rs41275478,rs1318408,rs3753588,rs17367629,rs2236797,rs34246601,rs4846062,rs55788159,rs13306553,rs55890341,rs2151654,rs2184227,rs1537515
CS:EUR-1-24-1	4	6.361289499451146	0.9332226496582574	rs148729807,rs191220001,rs188855481,rs143652921	
CS:EUR-1-40-1	5	5.83771308412457	0.4290135649101731	rs3007727,rs6665151,rs3007725,rs3007724,rs2992742	rs2992744,rs2992741,rs2992743
