pid	chromosome	block	CS	CS.size	CS.minp	CS.purity	CS.SNP
EAS	1	2	CS:EAS-1-2-L1	114	6.236e-6	0.5408100152518361	rs4081333,rs12063897,rs28460227,rs28648687,rs6694487,rs12065129,rs9659458,rs12062271,rs12061357,rs9659213,rs12060374,rs12060422,rs74508499,rs78021605,rs111842318,rs36057244,rs35916760,rs34279802,rs34067070,rs2298211,rs2298212,rs9661697,rs35659545,rs34115518,rs75972122,rs9659553,rs79501625,rs75998592,rs79361728,rs56013947,rs55683245,rs79118541,rs75124586,rs74374908,rs79875872,rs79281810,rs79339398,rs79561057,rs78596995,rs76056412,rs74930764,rs112678550,rs3813199,rs3813198,rs76888271,rs75967767,rs79367599,rs74808088,rs113206287,rs77472198,rs79028173,rs114919826,rs75700266,rs112733189,rs111452679,rs79242155,rs75165450,rs6671424,rs3753343,rs3753342,rs111698464,rs12087719,rs78913203,rs115953853,rs113791678,rs78107697,rs3766189,rs3766188,rs3766187,rs3766186,rs80322353,rs112819941,rs112328659,rs55701216,rs56070543,rs56378990,rs7515488,rs80229541,rs75188282,rs76024681,rs77819818,rs77696650,rs79493008,rs55893507,rs55717744,rs56316126,rs77994686,rs12089192,rs7528416,rs7536250,rs7536568,rs6697886,rs80242057,rs6687563,rs115765087,rs113143549,rs114105718,rs12096091,rs6675798,rs77550145,rs79361800,rs2297863,rs2297864,rs78555129,rs113164957,rs76342560,rs78446752,rs140918627,rs113679913,rs74491544,rs112905538,rs6603786,rs6603787,rs3818646
EAS	1	52	CS:EAS-1-52-L1	94	8.193e-6	0.9499518444814855	rs7414768,rs2474287,rs2273269,rs77539957,rs17162558,rs2504778,rs2504779,rs743044,rs2504780,rs2504782,rs12027726,rs12028549,rs74768945,rs76006910,rs78643812,rs74224108,rs2504762,rs2504763,rs2273270,rs2504764,rs2251670,rs2504765,rs2474288,rs743043,rs1005413,rs2474290,rs2474291,rs2504767,rs2504768,rs80024430,rs2504769,rs9438514,rs2504770,rs2236034,rs2504771,rs2474293,rs17162627,rs2474294,rs2474295,rs12023037,rs76256738,rs74224110,rs9438563,rs715224,rs2474301,rs2474303,rs143113992,rs2474304,rs2474307,rs7531313,rs9438569,rs4500341,rs3118947,rs3118948,rs6690867,rs6668823,rs6693871,rs12028112,rs9438518,rs57019711,rs58942471,rs9438519,rs9438571,rs74063812,rs6598883,rs9438572,rs150448477,rs9438573,rs146901198,rs9438574,rs6685856,rs74592538,rs9438575,rs9438520,rs9438521,rs6663718,rs7521438,rs75528364,rs9438576,rs9438523,rs7527229,rs9438577,rs186715821,rs138580176,rs72478544,rs79775449,rs80066582,rs74063828,rs9438581,rs12028304,rs140796655,rs9438584,rs7411886,rs7412540
EAS	2	85	CS:EAS-2-85-L1	78	2.407e-9	0.6142055786702354	rs2678910,rs2683634,rs2678915,rs1356544,rs1356545,rs2717056,rs2678908,rs2678906,rs2678905,rs2717001,rs2678904,rs2678903,rs2678901,rs1040225,rs1040224,rs2678881,rs2717002,rs2717003,rs2717004,rs2465804,rs2717007,rs2678909,rs2459982,rs2717010,rs2717011,rs2717014,rs2678873,rs2717015,rs2312141,rs2139053,rs2139054,rs2176546,rs2678879,rs2678880,rs2678882,rs2717019,rs2678883,rs2678884,rs2717022,rs2678886,rs2717023,rs2717024,rs2678887,rs2678888,rs2678889,rs2678890,rs2717027,rs970941,rs2717031,rs2678891,rs2717032,rs2717033,rs2717034,rs2678894,rs2717035,rs2717036,rs1401100,rs2678896,rs2678897,rs2717040,rs1568253,rs1568254,rs1518394,rs2717041,rs2717042,rs2717043,rs6732310,rs6545677,rs2312147,rs968653,rs10205421,rs10188070,rs12620940,rs12713372,rs12713373,rs35844949,rs848293,rs7596038
EAS	2	87	CS:EAS-2-87-L1	44	4.794e-6	0.5344203418487616	rs11125830,rs10188396,rs10178393,rs359265,rs359267,rs191692,rs359233,rs359234,rs359240,rs359243,rs359247,rs359249,rs359250,rs359253,rs359254,rs359255,rs359258,rs359260,rs359261,rs907575,rs11688007,rs9309323,rs10174860,rs4672373,rs7560605,rs4672375,rs4671379,rs1159208,rs7582445,rs7558962,rs4671380,rs2160067,rs955658,rs1512224,rs1553933,rs951807,rs2901002,rs28409139,rs11680123,rs1468739,rs9808396,rs6545798,rs907573,rs4672385
EAS	2	197	CS:EAS-2-197-L1	29	1.895e-10	0.8445002855929421	rs66621598,rs68089021,rs17630277,rs67484322,rs1835721,rs1835720,rs1835719,rs17630293,rs68130469,rs3769481,rs3769479,rs17592552,rs67067836,rs66515236,rs140001745,rs3820883,rs295126,rs295127,rs192680,rs78412932,rs295130,rs295131,rs296789,rs3769459,rs159430,rs296769,rs295111,rs295112,rs295121
EAS	3	39	CS:EAS-3-39-L1	100	3.535e-7	0.5015308314748744	rs7640852,rs9817819,rs13315592,rs11129106,rs7636994,rs6807204,rs11129107,rs6550726,rs3922415,rs7634983,rs7637269,rs10154911,rs3884564,rs9875903,rs9825994,rs9881572,rs4478098,rs9879958,rs9831312,rs4858060,rs4410461,rs13077118,rs12152551,rs4561853,rs7371852,rs4282081,rs11721203,rs11714151,rs7374182,rs4318573,rs4325936,rs4318574,rs4432667,rs3922891,rs7430140,rs9840692,rs6550741,rs28712166,rs11916627,rs9868645,rs9868692,rs7624622,rs9850944,rs9875663,rs9310714,rs6550744,rs4858482,rs1032499,rs9881332,rs4858483,rs9848077,rs2055154,rs9310715,rs17012812,rs6550746,rs6784771,rs1013460,rs1552930,rs7617072,rs13081371,rs7622784,rs4858062,rs4241511,rs9826877,rs9864908,rs7429470,rs34919006,rs9836787,rs9821101,rs9841123,rs17012869,rs12330262,rs12330479,rs9809176,rs4858064,rs59429714,rs4858484,rs9841944,rs6795492,rs12634773,rs9854590,rs6550748,rs2172828,rs13080261,rs13080401,rs12629848,rs1973400,rs11720461,rs9846398,rs11708117,rs11708176,rs9816895,rs4858491,rs4858492,rs13074192,rs9847958,rs11717397,rs9865602,rs9839738,rs6805889
EAS	3	140	CS:EAS-3-140-L1	98	1.119e-6	0.8655514149446011	rs863930,rs632251,rs661739,rs590198,rs895894,rs3957816,rs589092,rs12488721,rs684195,rs1279949,rs570621,rs1153877,rs1279424,rs1711170,rs556788,rs480330,rs527888,rs838202,rs681783,rs553018,rs650326,rs1279086,rs518972,rs696081,rs696520,rs517319,rs480162,rs654237,rs619605,rs655836,rs73222302,rs10935181,rs655748,rs526574,rs521746,rs711972,rs698269,rs834304,rs11717954,rs834305,rs864437,rs696518,rs56235965,rs7620314,rs10935182,rs11915629,rs10935183,rs12492510,rs10935184,rs66691851,rs6791611,rs10804640,rs9714347,rs4678269,rs1394094,rs11719310,rs73226190,rs711977,rs833861,rs711975,rs1070228,rs2688600,rs2688601,rs7427564,rs7621308,rs4630889,rs7432375,rs10935185,rs12163529,rs940174,rs4678436,rs73228043,rs34438032,rs10935186,rs11919030,rs55970317,rs1017882,rs4521165,rs7618518,rs6791142,rs4038587,rs7634476,rs7618871,rs7637129,rs4408829,rs9836231,rs6764567,rs4038578,rs9825700,rs9813596,rs7616204,rs28489907,rs12107125,rs900818,rs6789329,rs6795372,rs10513014,rs1729951
EAS	3	166	CS:EAS-3-166-L1	156	1.611e-8	0.655942572989696	rs35447687,rs6780674,rs7615033,rs7626556,rs13071617,rs12630366,rs4856665,rs9840976,rs1912454,rs28413956,rs4450831,rs1510340,rs907079,rs4498059,rs4498060,rs907080,rs4856666,rs7632987,rs28532919,rs56315604,rs35282795,rs1397245,rs34922593,rs1397244,rs1397243,rs1397242,rs1397241,rs6796554,rs1397240,rs16834360,rs951475,rs1397236,rs13100661,rs35512559,rs34793869,rs6789071,rs6776232,rs6791872,rs6779000,rs6779195,rs2102509,rs2102508,rs35298688,rs34869298,rs6786598,rs6786600,rs6762210,rs6789427,rs13099598,rs7637893,rs7615800,rs4856669,rs4856744,rs35648700,rs13067265,rs13067435,rs13067436,rs35888322,rs56210893,rs7432475,rs4611839,rs6800261,rs6800276,rs6800277,rs13097361,rs34880574,rs62278873,rs12637049,rs12631615,rs13085452,rs13085482,rs59423366,rs61342226,rs34809784,rs12632991,rs12638401,rs13072361,rs5002246,rs13098951,rs13098556,rs4380421,rs13061799,rs34739573,rs12636815,rs12636833,rs13058751,rs12629678,rs12632119,rs12629781,rs12637619,rs12637654,rs13090072,rs13090130,rs13090291,rs1119975,rs1119976,rs1119977,rs6776758,rs6788445,rs1397221,rs35538103,rs67954438,rs35626895,rs1510330,rs1510331,rs871934,rs871932,rs6804239,rs1397223,rs1397224,rs6804840,rs6769304,rs13071732,rs13072249,rs13071757,rs13072429,rs16847305,rs1567453,rs16847309,rs1016744,rs1016743,rs34141100,rs34036050,rs35598685,rs34707800,rs35797074,rs34585114,rs35722908,rs35628140,rs12632886,rs35535628,rs7619710,rs7641676,rs4856749,rs4856750,rs4856751,rs4856752,rs12631171,rs62278938,rs12638648,rs12638716,rs62278939,rs7431778,rs6789240,rs4856753,rs4856759,rs56400336,rs12638307,rs7617022,rs13088846,rs13080578,rs13086633,rs13087182,rs4459917,rs4856763,rs11922869
EAS	3	187	CS:EAS-3-187-L1	110	5.872e-7	0.7890024549486451	rs1805564,rs34161981,rs1805571,rs1805589,rs13097727,rs10490806,rs61263335,rs34456631,rs11705702,rs71312200,rs7638244,rs62289566,rs16832256,rs7647398,rs11711326,rs11715401,rs10049181,rs34293605,rs4855007,rs11711791,rs4855008,rs1897422,rs13089835,rs80167953,rs1897421,rs62289571,rs13096176,rs13060352,rs9852289,rs35607144,rs35077784,rs34095791,rs62289575,rs112171696,rs4855013,rs4855014,rs6782579,rs6807057,rs10513778,rs1001416,rs1001417,rs13092557,rs1805609,rs1805645,rs1805646,rs1805611,rs1806190,rs34193500,rs4854912,rs6775889,rs12638820,rs13081001,rs13064866,rs13091952,rs62289594,rs62289595,rs13062475,rs62289596,rs34196661,rs12635178,rs13086700,rs13086738,rs4855015,rs57671339,rs4855017,rs1897424,rs4855018,rs34331582,rs9870874,rs11710991,rs11708192,rs35212830,rs35032109,rs918253,rs9859557,rs6801189,rs9853264,rs12634129,rs4855019,rs62289605,rs4456860,rs13075474,rs11713600,rs12637938,rs13077245,rs13077643,rs4854913,rs13100379,rs62289619,rs6784620,rs11708198,rs12635535,rs13065466,rs13065310,rs13071279,rs13071836,rs13100468,rs4855022,rs12629507,rs12629509,rs12152501,rs57296786,rs34196490,rs74896883,rs13070997,rs11716918,rs10804885,rs13090638,rs35678296,rs7617548
EAS	4	37	CS:EAS-4-37-L1	5	9.278e-8	0.6398801294687689	rs17648420,rs6832165,rs1511356,rs1849100,rs7659588
